longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.03,32.71,33,3126,627,2300,623,3.2596,103000,NEAR OCEAN
-118.16,33.77,49,3382,787,1314,756,3.8125,382100,NEAR OCEAN
-120.48,34.66,4,1897,331,915,336,4.1563,172600,NEAR OCEAN
-117.11,32.69,36,1421,367,1418,355,1.9425,93400,NEAR OCEAN
-119.8,36.78,43,2382,431,874,380,3.5542,96500,INLAND
-121.86,37.42,20,5032,808,2695,801,6.6227,264800,<1H OCEAN
-117.97,34.04,28,1686,417,1355,388,2.5192,157300,<1H OCEAN
-122.53,37.91,37,2524,398,999,417,7.9892,500001,NEAR BAY
-117.9,34.13,5,1126,316,819,311,1.5,139800,<1H OCEAN
-117.79,34.02,5,18690,2862,9427,2777,6.4266,315600,<1H OCEAN
-122.45,37.72,52,982,197,653,171,4.2167,231900,NEAR BAY
-118.35,33.97,25,1864,616,1710,575,2.2303,159400,<1H OCEAN
-119.72,37.46,13,1999,375,750,308,2.875,96000,INLAND
-121.88,37.33,36,1904,689,3561,632,2.0972,187500,<1H OCEAN
-118.34,34.18,46,1393,301,714,295,2.8125,229900,<1H OCEAN
-118.23,33.89,36,2598,514,1872,514,3.1667,117700,<1H OCEAN
-121.65,36.67,52,2351,459,1169,439,2.8924,169600,<1H OCEAN
-121.34,38.03,20,4213,751,2071,714,4.4063,130800,INLAND
-118.43,34.32,34,2657,515,1948,532,4.233,157400,<1H OCEAN
-118.28,33.93,21,847,278,1283,277,1.4329,94100,<1H OCEAN
-117.34,34.16,31,1606,354,1049,335,2.1935,72700,INLAND
-121.98,37.24,35,3574,485,1325,476,8.5425,500001,<1H OCEAN
-123.15,38.94,22,2163,436,1048,358,2.7171,95800,<1H OCEAN
-118.28,33.98,43,1240,312,1100,311,1.575,97500,<1H OCEAN
-122.31,40.89,18,754,161,247,107,2.2583,78800,INLAND
-122.28,37.89,52,2070,329,722,306,5.4171,292000,NEAR BAY
-121.57,39.48,15,202,54,145,40,0.8252,42500,INLAND
-118.26,34.08,46,945,250,910,252,3.5039,187500,<1H OCEAN
-118.07,33.8,22,1391,338,810,295,3.8792,218200,<1H OCEAN
-120.79,36.06,29,1916,386,1019,314,2.4881,87500,<1H OCEAN
-117.07,33.12,32,2474,499,1224,461,2.7216,146300,<1H OCEAN
-118.01,34.55,2,2701,530,1368,430,4.071,137400,INLAND
-118.4,33.99,39,1613,380,1113,356,2.825,276700,<1H OCEAN
-118.06,34.08,37,778,205,850,198,2.5119,180500,<1H OCEAN
-117.01,32.79,31,3776,815,1886,799,3.4421,155300,<1H OCEAN
-118.11,33.88,35,1623,304,868,272,3.5893,276000,<1H OCEAN
-122.36,40.66,17,2786,559,1528,517,2.0119,75800,INLAND
-118.21,33.97,52,4220,908,3731,892,3.1901,167600,<1H OCEAN
-118.06,33.86,16,5603,938,3045,893,5.0778,293700,<1H OCEAN
-117.92,33.65,28,1087,423,807,425,0.9702,225400,<1H OCEAN
-118.47,34.1,32,8041,1141,2768,1106,11.1978,500001,<1H OCEAN
-118.03,34.1,31,2647,539,1473,520,3.94,223900,INLAND
-117.41,33.93,35,793,150,669,128,4.0156,89300,INLAND
-118.38,33.97,42,1859,337,813,326,6.019,294500,<1H OCEAN
-118.02,33.76,25,1759,404,1404,385,3.6289,195800,<1H OCEAN
-117.05,32.95,17,4814,1091,3013,1078,3.2369,167800,<1H OCEAN
-121.51,38.55,45,3032,631,1341,597,2.8417,137900,INLAND
-118.07,33.91,29,2387,570,1978,548,3.1957,159200,<1H OCEAN
-117.7,33.6,25,1321,295,396,278,3.1131,77100,<1H OCEAN
-118.14,34.17,52,2667,486,1681,504,4.0524,173100,<1H OCEAN
-118.26,34.07,46,2341,703,2371,648,2.4038,181700,<1H OCEAN
-122.07,37.94,43,1454,234,683,258,4.475,265700,NEAR BAY
-121.65,39.76,31,1599,318,794,303,3,96700,INLAND
-117.01,32.77,34,3330,723,1592,656,2.6678,164200,<1H OCEAN
-118.35,34.06,52,2837,602,1164,551,3.2411,250000,<1H OCEAN
